,Value unit,Employment,Economic activity,1991Q1,1991Q2,1991Q3,1991Q4,1992Q1,1992Q2,1992Q3,1992Q4,1993Q1,1993Q2,1993Q3,1993Q4,1994Q1,1994Q2,1994Q3,1994Q4,1995Q1,1995Q2,1995Q3,1995Q4,1996Q1,1996Q2,1996Q3,1996Q4,1997Q1,1997Q2,1997Q3,1997Q4,1998Q1,1998Q2,1998Q3,1998Q4,1999Q1,1999Q2,1999Q3,1999Q4,2000Q1,2000Q2,2000Q3,2000Q4,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
0,Hours worked,Total employment,"A. Agriculture, forestry and fishing",5440200,5638800,5035600,5852500,5538700,5720600,5060000,5855900,5487600,5632400,4940700,5710100,5341000,5495600,4833000,5607700,5256200,5413600,4757500,5498500,5125500,5245300,4578900,5247800,4872700,4987900,4372400,5023500,4706000,4872400,4326400,5007200,4724000,4910500,4363100,5018800,4695900,4832200,4240100,4795500,4421000,4493200,3900300,4349500,3981800,4039400,3517800,3926900,3625900,3721200,3287800,3726900,3492800,3632600,3246000,3724900,3514000,3671200,3284200,3765400,3535900,3674500,3265100,3709200,3455100,3572500,3157500,3571700,3329800,3410600,2983800,3568800,3371600,3658600,3241200,3634700,3461200,3670400,3474200,3625700,3512900,3649000,3534400,3842600,3712800,3774700,3483400,3787200,3661500,3667500,3471000,3723800,3424700,3480000,3323600,3581700,3444900,3394400,3330900,3532000,3310400,3259100,3004500,3158700,2523400,3053000,2854400,3119800,2970200,2991500,2913000,3121500,2971600,3027400,2831200,3038100,3015000,3045500,2863800,3121200,3091600,2998800,2887500,3176700,3071800,3031300,2959500,3206600,3130500,2870300,2696700,2936400,3006200,2989800,2861500,3163000
1,Hours worked,Total employment,"B-E. Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",10646200,9981500,9678700,11285600,10728500,10078700,9793500,11448100,10902600,10266800,10000100,11704600,11146500,10484100,10191100,11897000,11296900,10584300,10244800,11927900,11299200,10559300,10190200,11859400,11217000,10462200,10069800,11712000,11064300,10315700,9926100,11549500,10924000,10214200,9857200,11485500,10878000,10180700,9826100,11419100,10782700,10050300,9656700,11162000,10500400,9753400,9352600,10796300,10172000,9468900,9113900,10550300,9982200,9320800,8993500,10416300,9859900,9202800,8867000,10255400,9712500,9091300,8773100,10167100,9659900,9091500,8783800,10207000,9946800,10322800,8934500,10278100,9210000,8180400,7995500,9490900,9215500,8278500,8235000,9535700,9184500,8865800,8671900,9949300,9650600,8706700,8742400,9996200,9478600,9242900,8972300,10195300,10033600,8952900,8988200,10209400,9802000,8856600,9183900,10527200,9828500,9821000,9315600,10646200,9852900,9112200,9237600,10547100,9932900,9429500,9133700,10456800,10060200,9000000,8886600,10184700,9898100,8436800,8694300,10007700,9463100,8416500,8795200,10030300,9777400,8669900,8925500,10464200,10273500,8906700,9275600,10649000,9701000,9237900,9042900,10333400
2,Hours worked,Total employment,C. Manufacturing,9756200,9127100,8768600,10361300,9838900,9221600,8877100,10509700,9991800,9382500,9049400,10723400,10191400,9560700,9206400,10885500,10322500,9656700,9273100,10938100,10357100,9672200,9268600,10919200,10319800,9609600,9172000,10781600,10161600,9441600,8989700,10565600,9961000,9275700,8850200,10426200,9844600,9178400,8758300,10302900,9703900,9014800,8564100,10031100,9416000,8717100,8260000,9667000,9084100,8420300,7997200,9389100,8855800,8232500,7835000,9214000,8697400,8087800,7689300,9036600,8535200,7962700,7580900,8926800,8460000,7940100,7568000,8949600,8792900,9091600,7697300,9027200,8026600,7145900,6883000,8348700,8098800,7272800,7144500,8429400,8067600,7836500,7584900,8818300,8541200,7702900,7686800,8874100,8420300,8193900,7892600,9093500,8921300,7946800,7921700,9073900,8697400,7869400,8111300,9315300,8725400,8682500,8190400,9439700,8670200,8034200,8085500,9306100,8723300,8263700,7948800,9186100,8801600,7878800,7710800,8901100,8574300,7270900,7455800,8659900,8170700,7275900,7568600,8735700,8486000,7515600,7676100,9102600,8899900,7664600,7953300,9202400,8325400,7916800,7666400,8857600
3,Hours worked,Total employment,F. Construction,3451000,3533800,3408200,3642600,3481400,3559100,3422900,3647100,3478900,3557500,3427100,3654600,3489800,3572400,3445900,3677700,3515900,3607400,3493100,3742700,3603600,3732000,3648000,3936000,3807800,3945300,3847300,4134700,3968300,4073300,3937100,4207700,4022600,4128800,4000900,4298800,4131800,4260400,4144100,4463100,4282100,4395100,4245800,4540900,4322700,4406600,4232900,4510700,4306700,4423900,4290000,4618500,4502800,4729800,4677500,5122500,5100800,5437700,5422200,5981800,5958300,6307000,6215800,6784400,6587800,6768100,6457700,6857700,7630100,7973300,6861300,6386400,4345700,3830100,3816300,4010600,3319300,3249200,3203300,3427100,3106800,3135200,3083700,3300700,3034100,3071900,3023300,3391400,3244100,3354100,3288300,3559000,3496500,3446600,3440800,3919500,3675200,3686000,3751300,4270500,4178399,4475900,4422900,5034300,5005900,5033000,5133200,5800300,5584000,5541500,5248200,6024800,5816500,5551600,5240600,5812700,5562500,4979500,4957200,5687300,5273100,5174900,5186700,5930900,5775300,5680300,5784500,6768800,6564200,6283000,6348000,7149900,6656700,6690700,6439500,7261100
4,Hours worked,Total employment,G-I. Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,12275100,12603300,12049600,12769600,12359200,12643300,12025600,12653000,12164000,12392600,11756700,12301100,11832500,12139900,11612700,12191500,11824700,12250600,11808100,12448100,12115900,12558300,12081500,12735800,12384100,12814900,12310400,13004500,12679900,13174000,12706200,13452100,13145000,13690100,13203000,13894500,13496600,13978600,13378000,13928000,13397800,13770800,13085300,13538900,12965500,13311900,12662300,13129400,12641700,13093200,12581500,13173900,12837600,13443400,13056200,13818800,13561400,14213800,13811900,14653400,14337100,14918300,14400800,15190400,14739600,15209900,14564600,15358600,16082700,16763500,15208300,15053600,13336800,13307200,12946500,13621700,13037100,13563600,13206000,13752900,13020700,14247800,13781700,14330600,13728900,14688900,14277200,14748100,14325200,15395700,14948000,15260600,14884500,15897600,15503600,15977800,15284500,16686000,16669500,17223300,17035700,18621700,18251000,19076600,18494600,20061700,19328900,20159000,19147900,20372200,19281200,20050100,18869400,19462200,17859700,18701500,17611900,14112400,14583500,14470800,13700000,14593200,16183000,17561100,16752300,18182300,18177600,19342100,18555200,19448300,18983600,19661200,18582900,19431400,18554200,19588000
5,Hours worked,Total employment,J. Information and communication,2156300,1930900,1866200,2102900,2084500,1846800,1766200,1976300,1954400,1737700,1677900,1902500,1922000,1752900,1738700,2014900,2073500,1909100,1899500,2196400,2243200,2040000,2002200,2290100,2322900,2109700,2078000,2394800,2462100,2273300,2280600,2670500,2786400,2595700,2614700,3060400,3174100,2917400,2885900,3316000,3364000,3017400,2911200,3276300,3257000,2875000,2738700,3059000,3027700,2679200,2569800,2896400,2901600,2604400,2536800,2898300,2942900,2662700,2608500,2991800,3046400,2752300,2689800,3077300,3126200,2817000,2745800,3143100,3263000,3251400,2950300,3218300,3093200,2547200,2558900,2979900,3059800,2568900,2599900,3017400,3122600,2760000,2653400,3042900,3088800,2639000,2675100,3059900,3058300,2859900,2817000,3221600,3291500,2773800,2835100,3230800,3268800,2795800,2911400,3349500,3285700,3141000,2993200,3399300,3438700,2920000,2979400,3365200,3466400,3141600,3060400,3477100,3541200,2963600,2972700,3418100,3675200,2842800,3051600,3528500,3497900,2946800,3205400,3655800,3734800,3141300,3369800,3919400,3976100,3195100,3373700,3774100,3691600,3348300,3345900,3773900
6,Hours worked,Total employment,K. Financial and insurance activities,2264800,2068300,2008000,2237800,2264000,2058400,1986900,2202400,2215000,2003100,1926300,2131100,2144400,1945800,1880500,2090699,2113000,1922500,1862100,2074300,2099800,1914800,1863100,2089500,2140300,1984600,1968000,2247200,2344800,2210200,2219600,2553300,2671400,2511500,2503100,2850800,2943600,2725000,2669100,2989700,3031000,2755200,2651900,2928000,2929600,2635600,2520900,2777200,2783400,2518500,2433200,2710700,2749500,2515200,2457900,2765500,2830300,2608900,2569300,2911500,3006600,2799100,2781500,3170900,3285700,3056000,3020700,3433100,3706600,3733100,3341200,3555000,3327900,2693000,2669700,3044300,3041900,2600000,2682300,2983000,2962100,2722300,2685400,3039100,3057400,2609800,2647000,2928300,2857100,2665600,2591100,2993400,2989300,2446800,2490500,2722300,2711600,2294000,2425600,2654800,2567300,2518200,2392200,2644800,2654300,2279000,2332900,2563100,2541100,2350500,2297400,2519800,2568400,2166700,2176000,2420000,2539900,2098000,2138300,2408800,2359800,1960000,2088500,2279600,2337500,1938500,2067800,2289200,2400000,1968600,2110700,2338500,2296600,2128900,2135600,2395500
7,Hours worked,Total employment,"M-N. Professional, scientific and technical activities; administrative and support service activities",2732200,2516700,2505300,2693400,2675900,2468200,2466900,2656000,2655700,2481400,2516200,2728300,2748200,2591500,2647700,2867200,2883000,2719400,2780100,2988400,2995400,2831300,2909400,3117200,3134400,2979600,3081600,3314300,3354800,3202000,3319200,3597100,3660800,3504800,3634400,3956900,4021700,3844600,3967600,4297600,4326500,4102800,4195400,4503100,4494500,4242100,4322800,4622700,4605200,4353500,4444000,4748200,4727500,4477600,4571500,4880600,4855100,4606200,4705900,5035100,5012500,4763800,4871300,5220800,5184700,4905100,4983100,5332000,5527100,5816100,5514600,5504600,5028300,4279600,4419100,4790200,4762600,4235000,4469000,4826900,4956200,4630300,4740900,5155400,5189600,4702700,4937000,5306000,5215000,5124200,5156100,5463700,5614700,5034700,5381900,5747700,5775800,5318600,5815000,6185200,6072100,6390400,6679100,7120700,7202400,6698800,7325300,7604700,7352300,7162400,7414300,7762300,7584100,6728100,7120200,7418700,6919400,5158300,5847000,6065500,5854900,5406200,6506400,6954000,6804300,6264000,7169900,7583400,7474300,6772700,7662200,7896900,7566000,7406100,7842900,8155000
8,Hours worked,Total employment,O-Q. Public administration and defence; compulsory social security; education; human health and social work activities,16693800,16273400,15292100,17311100,17171400,16754700,15732600,17799100,17594100,17083300,15946600,17988000,17723000,17174400,15988200,18056100,17810100,17280600,16092400,18231600,18004300,17459700,16249500,18427700,18187000,17613800,16403900,18610500,18367000,17782500,16587300,18819200,18564400,17956800,16748500,19001900,18755600,18167000,16975600,19322600,19132200,18586800,17410100,19848200,19643000,19045000,17778100,20154900,19832800,19125700,17748300,20006600,19626300,18906800,17554800,19836700,19535400,18902800,17667900,20087800,19886200,19315200,18134600,20669600,20485500,19889100,18639500,21242600,20512700,21388200,19483500,22428600,21961900,19837600,18589800,20728300,20939600,19193900,18281300,20414000,20410600,19353400,18343500,20350000,20667900,18965800,17881600,20338200,20161500,19892800,18047500,20468000,20826700,19218800,18464700,21014300,21170700,18908700,18439500,22158600,20576500,20429600,18343700,21498400,21832600,19859800,18576900,21783100,21881200,20942900,19014900,22267000,23167300,20821600,19786900,22657800,22940900,21796700,21372900,23845700,23699000,21654100,21645900,23852400,24110700,21784200,21561900,24280000,24014700,22338400,21970600,24854900,24126700,22988300,22199400,25489800
9,Hours worked,Total employment,"R-U. Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",2248700,2184100,2162400,2318600,2222700,2159700,2138300,2297000,2218700,2176300,2173200,2356000,2302600,2277000,2285000,2486800,2438800,2413400,2415700,2621600,2560700,2523100,2509400,2706200,2622300,2561900,2526600,2704700,2602700,2528100,2484500,2654200,2553500,2483900,2446100,2621900,2529300,2466600,2431700,2614000,2523300,2462400,2425400,2611700,2522700,2467700,2432400,2626000,2548700,2514000,2490700,2702800,2642700,2627700,2609100,2836000,2773200,2752600,2715700,2936200,2855500,2822100,2765300,2973800,2881800,2840500,2769100,2960300,2826500,2930100,2751900,2971300,2873300,2682000,2624700,2811700,2823500,2622200,2666200,2833300,2790300,2742200,2673900,2841800,2817400,2672800,2616100,2797600,2757400,2760800,2703500,2816000,2868500,2706600,2712300,2912000,2897600,2784300,2762100,3031900,2806200,2888500,2776200,2926300,2956600,2825100,2834200,3027200,3031000,2989100,2910400,3131900,3227000,3042700,2986600,3165100,3539900,2782100,3182700,3158600,3091800,3009200,3398900,3630200,3654700,3432600,3503300,3733900,3729700,3494800,3572500,3752100,3658700,3585600,3582300,3859200
