,Quarter,Municipality,Total,Males,Females,Non-binary/Other,Icelandic citizens,Foreign citizens
0,2010Q4,Total,311890,156090,155810,.,293070,18820
1,2010Q4,Capital region,197370,97570,99800,.,185150,12220
2,2010Q4, Reykjavikurborg,115420,56920,58500,.,107190,8230
3,2010Q4, Kopavogsbaer,30260,14960,15310,.,28650,1620
4,2010Q4, Seltjarnarnesbaer,4190,2060,2130,.,4020,170
5,2010Q4, Gardabaer,13150,6480,6670,.,12780,370
6,2010Q4, Hafnarfjardarkaupstadur,25660,12710,12950,.,24140,1530
7,2010Q4, Mosfellsbaer,8480,4330,4150,.,8180,300
8,2010Q4, Kjosarhreppur,210,110,90,.,200,5
9,2010Q4,Other regions,114530,58520,56010,.,107930,6600
10,2010Q4, Reykjanesbaer,13690,6960,6730,.,12550,1140
11,2010Q4, Grindavikurbaer,2770,1420,1350,.,2580,190
12,2010Q4, Sveitarfelagid Vogar,1140,600,540,.,1060,80
13,2010Q4, Sudurnesjabaer,3080,1610,1470,.,2730,340
14,2010Q4, Akraneskaupstadur,6540,3350,3200,.,6190,360
15,2010Q4, Skorradalshreppur,50,30,25,.,50,.
16,2010Q4, Hvalfjardarsveit,610,330,270,.,580,25
17,2010Q4, Borgarbyggd,3430,1760,1670,.,3290,140
18,2010Q4, Grundarfjardarbaer,880,440,440,.,770,110
19,2010Q4, Eyja- og Miklaholtshreppur,130,70,60,.,100,30
20,2010Q4, Snaefellsbaer,1700,880,820,.,1480,220
21,2010Q4, Sveitarfelagid Stykkisholmur,1140,600,540,.,1070,70
22,2010Q4, Dalabyggd,680,360,330,.,660,25
23,2010Q4, Bolungarvikurkaupstadur,880,450,430,.,780,90
24,2010Q4, Isafjardarbaer,3800,1900,1900,.,3460,330
25,2010Q4, Reykholahreppur,270,140,130,.,270,5
26,2010Q4, Vesturbyggd,1180,610,570,.,1040,140
27,2010Q4, Sudavikurhreppur,190,100,90,.,180,15
28,2010Q4, Arneshreppur,50,30,25,.,50,0
29,2010Q4, Kaldrananeshreppur,100,50,60,.,100,0
30,2010Q4, Strandabyggd,500,270,220,.,490,5
31,2010Q4, Hunathing vestra,1200,580,620,.,1160,40
32,2010Q4, Sveitarfelagid Skagastrond,530,260,260,.,520,10
33,2010Q4, Hunabyggd,1390,740,660,.,1310,90
34,2010Q4, Skagafjordur,4240,2150,2090,.,4120,120
35,2010Q4, Akureyrarbaer,17620,8690,8930,.,17170,450
