,Value unit,Category,1995Q1,1995Q2,1995Q3,1995Q4,1996Q1,1996Q2,1996Q3,1996Q4,1997Q1,1997Q2,1997Q3,1997Q4,1998Q1,1998Q2,1998Q3,1998Q4,1999Q1,1999Q2,1999Q3,1999Q4,2000Q1,2000Q2,2000Q3,2000Q4,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
0,Current prices,1. Private final consumption,59393,66165,66669,70976,64243,71740,71942,76479,68814,76883,78105,81982,77899,86036,89006,92346,87832,94777,98154,101631,95422,105898,107771,111184,103049,110995,112332,114879,107802,116635,117158,120263,115976,123519,124572,130482,127096,136655,137318,146934,141941,157973,155340,164696,162286,177280,170643,180437,174191,195497,194534,207078,202838,213225,206923,200507,194060,208326,211659,220752,208958,214615,213249,227594,211047,229585,228323,246359,229847,250752,241301,264547,245434,259586,252047,276752,254617,273908,268030,294191,268301,290269,278625,310921,292282,319315,295713,330412,309876,337684,319581,356369,331848,365424,347099,385812,355771,390743,374007,397832,371762,364521,382155,403521,388003,410919,417680,470462,443099,495744,476605,536509,514846,551475,510033,564106,547750,578964,546104,593704
1,Current prices,2. Government final consumption,23360,23998,24953,25594,24952,25635,26613,27285,26628,27538,28015,29405,31146,31496,32696,32951,34515,35251,35977,37784,38008,39368,41894,41922,43565,45426,46860,48288,50975,51545,52692,54208,54281,55055,55895,56186,57650,58974,59874,59281,62229,64705,66298,66348,71721,74398,75395,76416,81330,86305,77587,84937,89861,95453,92355,108000,100059,104793,100278,106408,100910,104838,104174,107312,104160,110318,110649,113929,108725,115525,114015,118526,115997,121958,119165,122613,120647,126564,125476,130625,127797,132601,134280,146692,136944,143713,144326,153034,149338,156309,154426,165470,163093,170554,169534,183579,177760,185889,183389,197001,195598,205372,203015,218249,213871,223537,223261,235906,236333,247594,249089,263012,258455,270577,269739,286079,284548,291954,291700,308106
2,Current prices,3. Gross fixed capital formation,18698,19712,20945,21427,23915,25090,26316,27166,27167,28650,30037,30913,37140,38277,39052,40688,36287,37705,39696,39331,41242,43680,44947,44366,45139,45279,48537,46940,39989,41752,44233,43216,43196,45895,50062,48752,52411,60036,63896,65137,65179,73100,88666,87324,94927,103513,110158,125421,90204,105366,115301,97226,95726,98009,109653,99856,46311,60698,67655,74696,53011,59417,60594,63701,55484,64111,67256,84387,74275,79409,68538,72689,69009,86961,70710,80702,83044,80898,101851,92190,102893,107826,110839,125199,120001,137122,128960,139832,123434,147020,154088,150679,142441,166595,153485,158544,126180,168745,172038,163996,139887,154861,159183,167587,152315,187821,207677,200130,198934,227553,254560,261289,241877,278376,278534,278241,267792,311703,303540,336285
3,Current prices,3.1 Business sector investment,9616,10051,9908,10984,14242,14838,14654,16022,17400,18231,18087,19675,25612,25964,24938,27538,24254,24775,24743,25552,27330,28738,27672,28432,28951,27757,28021,28215,23093,23774,23645,23651,26077,27465,28540,28632,31221,37092,38389,39282,43098,49554,61516,61397,66727,73334,75169,92221,55841,68058,72081,55727,60858,60002,66181,62541,23126,36538,34948,51492,33834,37006,34529,40748,37906,17778,43571,58378,54588,57045,43463,48363,47215,56645,40704,51572,56290,51835,68199,61528,75584,79835,78174,90766,92266,102351,92478,94106,87331,104581,104397,101045,92819,112040,93402,85052,68308,94716,97929,93923,81034,88596,81794,89408,88584,110942,122569,107712,131016,142241,152981,168120,168698,186898,181857,170956,181494,210118,191760,214496
4,Current prices,3.2 Residential construction,4552,4609,4980,5478,5118,5183,5600,6159,4803,4864,5255,5780,5011,5074,5483,6030,5163,5228,5649,6213,6015,6091,6581,7238,7371,7464,8065,8870,9146,9262,10007,11006,9874,9998,10803,11882,11769,11918,12877,14163,13592,13763,14871,16356,17344,17563,18976,20871,20497,21278,23016,25823,20052,20359,20362,20129,10860,10007,9869,9374,7896,8382,9197,10067,9024,10041,10751,10151,10323,11474,11825,11365,10763,11661,14284,14096,14359,14453,15147,14987,13787,12753,15256,17284,14395,18146,17714,29315,20405,21411,26455,30272,30854,30269,27341,33056,39579,44415,43912,38952,40147,40857,45648,45206,40994,45007,46372,47106,41626,47404,50018,47782,40870,48697,51904,54256,52678,58150,63711,67907
5,Current prices,3.3 Government services,4530,5051,6057,4966,4555,5069,6062,4985,4964,5555,6695,5458,6516,7238,8631,7120,6871,7702,9304,7566,7896,8851,10694,8695,8817,10058,12451,9855,7749,8716,10581,8558,7246,8432,10719,8238,9421,11026,12630,11693,8489,9783,12278,9572,10856,12616,16012,12329,13867,16030,20204,15677,14816,17647,23111,17185,12325,14153,22837,13830,11281,14030,16869,12886,8555,36292,12934,15858,9365,10889,13249,12961,11031,18655,15723,15034,12395,14611,18505,15675,13521,15237,17409,17149,13341,16625,18768,16410,15698,21029,23236,19362,18768,24286,32742,40437,18293,29615,30197,31121,18706,25407,31741,32973,22737,31872,38736,45313,26292,37908,51561,45388,32309,42780,44773,53029,33620,43435,48069,53881
6,Current prices,4. Changes in inventories,-617,515,1159,1995,-5,4,10,17,-319,-339,533,227,355,601,-18,-32,66,405,-343,-8,-280,364,-452,3040,-2777,16,607,-14,-301,-858,890,288,2323,-130,-80,-3344,3533,-988,-3463,538,2160,-7198,1058,-3846,1207,-2239,7386,1770,-319,-2232,4684,-42,5272,-7292,15753,-3334,12020,391,-3945,-8612,10074,-8192,-278,-4519,19291,-4779,-4565,-6142,19734,-11313,-1794,-6018,15511,-3852,-5425,-8841,-949,2779,-4226,3761,15233,-1422,-3777,-8402,15241,-8623,2338,-5232,5256,-9542,12615,-9150,7370,-316,141,544,-11210,2956,8612,-5712,-2981,-556,16712,-10009,5544,-7451,9982,-3420,18999,-18890,17466,-7920,38511,-17790,13534,-4652,3313,-11693,5226,10296
7,Current prices,5. Gross domestic final expenditure,100835,110390,113725,119992,113105,122469,124881,130947,122290,132732,136690,142527,146540,156410,160736,165954,158701,168138,173485,178738,174391,189310,194160,200512,188976,201715,208336,210093,198465,209074,214973,217976,215776,224339,230450,232075,240690,254677,257625,271890,271510,288581,311361,314523,330141,352952,363581,384044,345406,384936,392106,389199,393697,399394,424684,405029,352451,374208,375647,393243,372953,370678,377740,394087,389983,399235,401663,438533,432580,434372,422060,449744,445951,464652,436498,471225,457359,484149,491130,520767,514224,529274,519967,574410,564468,591528,571337,618046,587904,631471,640709,663369,644752,702256,670259,728479,648500,748334,738045,753117,704267,724198,761065,779349,759733,814826,858600,903078,897364,952001,997720,1052890,1053690,1082638,1071840,1123774,1103402,1170929,1146570,1248391
8,Current prices,6. Exports of goods and services,38306,40387,41719,40878,41160,42678,46854,46096,43581,47235,50791,49114,41436,53700,58285,50338,48576,53824,56241,52239,49077,55170,65642,58093,63097,70605,82070,80596,75221,77974,79214,70940,70364,67121,79368,69156,72407,74540,89365,78201,71859,87838,87481,75055,77172,101716,102455,91343,108952,110359,108887,127278,111496,171200,167411,190518,166102,185399,233822,207051,196020,225403,232055,216359,204454,238886,282257,237136,226424,258807,284844,243398,238089,248809,303677,258484,223084,256539,327215,268036,264476,320835,339677,268605,245382,304163,367669,275611,239295,302623,356527,309782,275542,321573,388924,323556,310270,328742,374350,309445,263632,210832,253646,247583,227525,274602,363832,356444,352691,440204,536596,448792,417361,482855,542958,441597,403053,481230,562684,472962
9,Current prices,"6.1 Goods, fob",29035,29782,26764,31066,32427,30479,28693,34043,33104,32239,31099,34838,28851,35828,36729,34517,34994,36071,32958,36964,34247,34250,36657,38436,41797,43054,45007,54413,50312,50927,46239,45499,46557,40658,42152,42952,48659,44545,48019,50687,43276,53085,42472,43253,48537,60808,55394,53114,67209,59329,52882,83500,65838,115923,97389,123527,107828,102677,124657,124554,119374,129722,121043,132131,129333,131809,154059,147625,141371,143313,142399,149394,144253,126952,145520,144653,128881,132706,154039,156770,160152,164986,146854,145907,131384,140657,136777,135434,113654,138454,132409,148256,143829,150898,152023,172707,177233,163340,151498,163488,151385,149968,161357,176447,168384,184917,197377,226518,232651,255125,267782,263193,247205,231662,226692,240499,224150,241478,242480,260067
